scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-30T10:29:41,25,1,RACHEL HULTEEN - CPT & NUTRITION COACH,@livelygirlfitness,432.5k,0.03%,0.03,"[""432.5k"", ""0.03"", ""133""]","[""0.03%""]",RACHEL HULTEEN - CPT & NUTRITION COACH | @livelygirlfitness | 432.5k | 0.03% | 133 | Save,"[""RACHEL HULTEEN - CPT & NUTRITION COACH"", ""@livelygirlfitness"", ""432.5k"", ""0.03%"", ""133"", ""Save""]",,RACHEL HULTEEN - CPT & NUTRITION COACH,@livelygirlfitness,432.5k,0.03%,133,Save,,,,,,
2026-03-30T10:29:41,25,2,Devoné Martin,@dev1fit,431.9k,,,"[""431.9k""]",[],Devoné Martin | @dev1fit | 431.9k | Likes are hidden | Likes are hidden | Save,"[""Devon\u00e9 Martin"", ""@dev1fit"", ""431.9k"", ""Likes are hidden"", ""Likes are hidden"", ""Save""]","er_missing,engagement_missing",Devoné Martin,@dev1fit,431.9k,Likes are hidden,Likes are hidden,Save,,,,,,
2026-03-30T10:29:41,25,3,Gremlin University,@gremlinuniversity,431.6k,1.95%,1.95,"[""431.6k"", ""1.95"", ""8.4k""]","[""1.95%""]",Gremlin University | @gremlinuniversity | 431.6k | 1.95% | 8.4k | Save,"[""Gremlin University"", ""@gremlinuniversity"", ""431.6k"", ""1.95%"", ""8.4k"", ""Save""]",,Gremlin University,@gremlinuniversity,431.6k,1.95%,8.4k,Save,,,,,,
2026-03-30T10:29:41,25,4,Matthew Greggo,@mattgreggo,431.3k,6.48%,6.48,"[""431.3k"", ""6.48"", ""27.9k""]","[""6.48%""]",Matthew Greggo | @mattgreggo | 431.3k | 6.48% | 27.9k | Save,"[""Matthew Greggo"", ""@mattgreggo"", ""431.3k"", ""6.48%"", ""27.9k"", ""Save""]",,Matthew Greggo,@mattgreggo,431.3k,6.48%,27.9k,Save,,,,,,
2026-03-30T10:29:41,25,5,Brenique Reed,@niquiebknows,430.2k,1.48%,1.48,"[""430.2k"", ""1.48"", ""6.3k""]","[""1.48%""]",Brenique Reed | @niquiebknows | 430.2k | 1.48% | 6.3k | Save,"[""Brenique Reed"", ""@niquiebknows"", ""430.2k"", ""1.48%"", ""6.3k"", ""Save""]",,Brenique Reed,@niquiebknows,430.2k,1.48%,6.3k,Save,,,,,,
2026-03-30T10:29:41,25,6,liza marie pasquale,@lizamarie_fit,429.9k,0.25%,0.25,"[""429.9k"", ""0.25"", ""1.1k""]","[""0.25%""]",liza marie pasquale | @lizamarie_fit | 429.9k | 0.25% | 1.1k | Save,"[""liza marie pasquale"", ""@lizamarie_fit"", ""429.9k"", ""0.25%"", ""1.1k"", ""Save""]",,liza marie pasquale,@lizamarie_fit,429.9k,0.25%,1.1k,Save,,,,,,
2026-03-30T10:29:41,25,7,Tyler Relph,@tylerrelph10,428.8k,0.07%,0.07,"[""428.8k"", ""0.07"", ""319""]","[""0.07%""]",Tyler Relph | @tylerrelph10 | 428.8k | 0.07% | 319 | Save,"[""Tyler Relph"", ""@tylerrelph10"", ""428.8k"", ""0.07%"", ""319"", ""Save""]",,Tyler Relph,@tylerrelph10,428.8k,0.07%,319,Save,,,,,,
2026-03-30T10:29:41,25,8,Mario Arrizon,@marioarrizon,428.6k,0.14%,0.14,"[""428.6k"", ""0.14"", ""583""]","[""0.14%""]",Mario Arrizon | @marioarrizon | 428.6k | 0.14% | 583 | Save,"[""Mario Arrizon"", ""@marioarrizon"", ""428.6k"", ""0.14%"", ""583"", ""Save""]",,Mario Arrizon,@marioarrizon,428.6k,0.14%,583,Save,,,,,,
2026-03-30T10:29:41,25,9,MIKE MELTON | BLUE COLLAR LEADERSHIP COACH,@mikemeltonofficial,427.8k,0.06%,0.06,"[""427.8k"", ""0.06"", ""256""]","[""0.06%""]",MIKE MELTON | BLUE COLLAR LEADERSHIP COACH | @mikemeltonofficial | 427.8k | 0.06% | 256 | Save,"[""MIKE MELTON | BLUE COLLAR LEADERSHIP COACH"", ""@mikemeltonofficial"", ""427.8k"", ""0.06%"", ""256"", ""Save""]",,MIKE MELTON | BLUE COLLAR LEADERSHIP COACH,@mikemeltonofficial,427.8k,0.06%,256,Save,,,,,,
2026-03-30T10:29:41,25,10,Greg Olsen,@gregolsen88,427.4k,0.17%,0.17,"[""427.4k"", ""0.17"", ""737""]","[""0.17%""]",Greg Olsen | @gregolsen88 | 427.4k | 0.17% | 737 | Save,"[""Greg Olsen"", ""@gregolsen88"", ""427.4k"", ""0.17%"", ""737"", ""Save""]",,Greg Olsen,@gregolsen88,427.4k,0.17%,737,Save,,,,,,
2026-03-30T10:29:41,25,11,Pete Carroll,@petecarroll,427.2k,0.33%,0.33,"[""427.2k"", ""0.33"", ""1.4k""]","[""0.33%""]",Pete Carroll | @petecarroll | 427.2k | 0.33% | 1.4k | Save,"[""Pete Carroll"", ""@petecarroll"", ""427.2k"", ""0.33%"", ""1.4k"", ""Save""]",,Pete Carroll,@petecarroll,427.2k,0.33%,1.4k,Save,,,,,,
2026-03-30T10:29:41,25,12,Shane Fazen | FIGHTTIPS,@shanefazen,427.1k,0.18%,0.18,"[""427.1k"", ""0.18"", ""748""]","[""0.18%""]",Shane Fazen | FIGHTTIPS | @shanefazen | 427.1k | 0.18% | 748 | Save,"[""Shane Fazen | FIGHTTIPS"", ""@shanefazen"", ""427.1k"", ""0.18%"", ""748"", ""Save""]",,Shane Fazen | FIGHTTIPS,@shanefazen,427.1k,0.18%,748,Save,,,,,,
2026-03-30T10:29:41,25,13,Laura Sales | Digital Marketing,@laurasalessocial,426.8k,0.01%,0.01,"[""426.8k"", ""0.01"", ""55""]","[""0.01%""]",Laura Sales | Digital Marketing | @laurasalessocial | 426.8k | 0.01% | 55 | Save,"[""Laura Sales | Digital Marketing"", ""@laurasalessocial"", ""426.8k"", ""0.01%"", ""55"", ""Save""]",,Laura Sales | Digital Marketing,@laurasalessocial,426.8k,0.01%,55,Save,,,,,,
2026-03-30T10:29:41,25,14,Kayla Elderkin | Business Coach,@kaylaelderkinofficial,424.7k,0.02%,0.02,"[""424.7k"", ""0.02"", ""94""]","[""0.02%""]",Kayla Elderkin | Business Coach | @kaylaelderkinofficial | 424.7k | 0.02% | 94 | Save,"[""Kayla Elderkin | Business Coach"", ""@kaylaelderkinofficial"", ""424.7k"", ""0.02%"", ""94"", ""Save""]",,Kayla Elderkin | Business Coach,@kaylaelderkinofficial,424.7k,0.02%,94,Save,,,,,,
2026-03-30T10:29:41,25,15,DONZELLA BURTON,@theassistedlivingcoach,424k,0.02%,0.02,"[""424k"", ""0.02"", ""76""]","[""0.02%""]",DONZELLA BURTON | @theassistedlivingcoach | 424k | 0.02% | 76 | Save,"[""DONZELLA BURTON"", ""@theassistedlivingcoach"", ""424k"", ""0.02%"", ""76"", ""Save""]",,DONZELLA BURTON,@theassistedlivingcoach,424k,0.02%,76,Save,,,,,,
