scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-30T10:15:30,1,1,Angela Zambrano,@angelazambranofit,2.8M,,,"[""2.8M""]",[],Angela Zambrano | @angelazambranofit | 2.8M | Likes are hidden | Likes are hidden | Save,"[""Angela Zambrano"", ""@angelazambranofit"", ""2.8M"", ""Likes are hidden"", ""Likes are hidden"", ""Save""]","er_missing,engagement_missing",Angela Zambrano,@angelazambranofit,2.8M,Likes are hidden,Likes are hidden,Save,,,,,,
2026-03-30T10:15:30,1,2,Inger,@ingerdevera,2.6M,0.05%,0.05,"[""2.6M"", ""0.05"", ""1.3k""]","[""0.05%""]",Inger | @ingerdevera | 2.6M | 0.05% | 1.3k | Save,"[""Inger"", ""@ingerdevera"", ""2.6M"", ""0.05%"", ""1.3k"", ""Save""]",,Inger,@ingerdevera,2.6M,0.05%,1.3k,Save,,,,,,
2026-03-30T10:15:30,1,3,Steve | Money Coach | Former Teacher,@calltoleap,2.6M,0.08%,0.08,"[""2.6M"", ""0.08"", ""2k""]","[""0.08%""]",Steve | Money Coach | Former Teacher | @calltoleap | 2.6M | 0.08% | 2k | Save,"[""Steve | Money Coach | Former Teacher"", ""@calltoleap"", ""2.6M"", ""0.08%"", ""2k"", ""Save""]",,Steve | Money Coach | Former Teacher,@calltoleap,2.6M,0.08%,2k,Save,,,,,,
2026-03-30T10:15:30,1,4,"Walid Hogan Elashri, CPA",@walid_hogan_wrestling_official,2.4M,0%,0,"[""2.4M"", ""0"", ""27""]","[""0%""]","Walid Hogan Elashri, CPA | @walid_hogan_wrestling_official | 2.4M | 0% | 27 | Save","[""Walid Hogan Elashri, CPA"", ""@walid_hogan_wrestling_official"", ""2.4M"", ""0%"", ""27"", ""Save""]",,"Walid Hogan Elashri, CPA",@walid_hogan_wrestling_official,2.4M,0%,27,Save,,,,,,
2026-03-30T10:15:30,1,5,Elina Danilova | Executive Life Coach,@elina.danilova7,2.4M,0.02%,0.02,"[""2.4M"", ""0.02"", ""595""]","[""0.02%""]",Elina Danilova | Executive Life Coach | @elina.danilova7 | 2.4M | 0.02% | 595 | Save,"[""Elina Danilova | Executive Life Coach"", ""@elina.danilova7"", ""2.4M"", ""0.02%"", ""595"", ""Save""]",,Elina Danilova | Executive Life Coach,@elina.danilova7,2.4M,0.02%,595,Save,,,,,,
2026-03-30T10:15:30,1,6,Andrew Varona,@andrew.varona.12,12,0.74%,2.4M,"[""12"", ""2.4M"", ""0.74"", ""17.6k""]","[""0.74%""]",Andrew Varona | @andrew.varona.12 | 2.4M | 0.74% | 17.6k | Save,"[""Andrew Varona"", ""@andrew.varona.12"", ""2.4M"", ""0.74%"", ""17.6k"", ""Save""]",,Andrew Varona,@andrew.varona.12,2.4M,0.74%,17.6k,Save,,,,,,
2026-03-30T10:15:30,1,7,Tim Walz,@timwalz,2.3M,1.18%,1.18,"[""2.3M"", ""1.18"", ""27.2k""]","[""1.18%""]",Tim Walz | @timwalz | 2.3M | 1.18% | 27.2k | Save,"[""Tim Walz"", ""@timwalz"", ""2.3M"", ""1.18%"", ""27.2k"", ""Save""]",,Tim Walz,@timwalz,2.3M,1.18%,27.2k,Save,,,,,,
2026-03-30T10:15:30,1,8,🇧🇷🇺🇸 Caroline Hoban | Online Coach & Entrepreneur,@carolinedecampos,2.2M,0.39%,0.39,"[""2.2M"", ""0.39"", ""8.6k""]","[""0.39%""]",🇧🇷🇺🇸 Caroline Hoban | Online Coach & Entrepreneur | @carolinedecampos | 2.2M | 0.39% | 8.6k | Save,"[""\ud83c\udde7\ud83c\uddf7\ud83c\uddfa\ud83c\uddf8 Caroline Hoban | Online Coach & Entrepreneur"", ""@carolinedecampos"", ""2.2M"", ""0.39%"", ""8.6k"", ""Save""]",,🇧🇷🇺🇸 Caroline Hoban | Online Coach & Entrepreneur,@carolinedecampos,2.2M,0.39%,8.6k,Save,,,,,,
2026-03-30T10:15:30,1,9,jenna bloom,@jennalee,2.2M,0.04%,0.04,"[""2.2M"", ""0.04"", ""886""]","[""0.04%""]",jenna bloom | @jennalee | 2.2M | 0.04% | 886 | Save,"[""jenna bloom"", ""@jennalee"", ""2.2M"", ""0.04%"", ""886"", ""Save""]",,jenna bloom,@jennalee,2.2M,0.04%,886,Save,,,,,,
2026-03-30T10:15:30,1,10,Michael Ꭰean | Online Coach,@michaeldean2.0,0,0.14%,2.2M,"[""0"", ""2.2M"", ""0.14"", ""3k""]","[""0.14%""]",Michael Ꭰean | Online Coach | @michaeldean2.0 | 2.2M | 0.14% | 3k | Save,"[""Michael \u13a0ean | Online Coach"", ""@michaeldean2.0"", ""2.2M"", ""0.14%"", ""3k"", ""Save""]",,Michael Ꭰean | Online Coach,@michaeldean2.0,2.2M,0.14%,3k,Save,,,,,,
